utility_type,given_flat_id,year_month,opening_reading,closing_reading,monthly_reading,opening_timestamp,closing_timestamp,computed_at
Water,Jade1708,2026-02,413109,413109,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1406,2026-02,5343.55,5477.37,133.82,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl603-E,2026-02,7081.22,7280.34,199.12,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1403-E,2026-02,9446.85,9583.57,136.72,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1002,2026-02,504184,525595,21411,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal1710,2026-02,58.32,59.58,1.26,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1304,2026-02,128.94,135.58,6.64,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal710,2026-02,658697,674750,16053,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal901,2026-02,264932,293171,28239,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1105,2026-02,177415,177415,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst707,2026-02,67.45,67.69,0.24,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1502,2026-02,10532.96,10704.67,171.71,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby101,2026-02,514066,526199,12133,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal308-F,2026-02,101.08,104.24,3.16,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1703,2026-02,95.66,98.63,2.97,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1801,2026-02,397.08,400.65,3.57,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1506-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1401-E,2026-02,909242,922688,13446,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1902,2026-02,4837.37,5011.8,174.43,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade809,2026-02,129.8,133.26,3.46,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade309,2026-02,1084415,1097148,12733,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby902,2026-02,6428.03,6632.08,204.05,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1603-E,2026-02,17269.75,17270.32,0.57,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl408-E,2026-02,3131.88,3260.89,129.01,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal510-F,2026-02,103352,104381,1029,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise105,2026-02,2065441,2088034,22593,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise605,2026-02,1540991,1561053,20062,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum1907-D,2026-02,920353,937949,17596,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum204-D,2026-02,176728,198138,21410,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum1102-D,2026-02,515974,518027,2053,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum201,2026-02,77879,78553,674,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1905,2026-02,6811.58,6900.32,88.74,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise1603,2026-02,167.19,172.18,4.99,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise909,2026-02,15855.59,15978.92,123.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal106,2026-02,12089.98,12256.28,166.3,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1404,2026-02,8176.08,8355.14,179.06,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1907,2026-02,13439.45,13575.19,135.74,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,JadeG009,2026-02,732178,741250,9072,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst405,2026-02,0,28475,28475,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1303-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal102-F,2026-02,505974,521275,15301,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum1203-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum1101,2026-02,94085,95381,1296,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1607,2026-02,15268.34,15527.67,259.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1706,2026-02,561800,580686,18886,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum304,2026-02,131.52,136.33,4.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl908-E,2026-02,78804,91497,12693,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1104,2026-02,6197.69,6411.24,213.55,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1605,2026-02,16416.63,16642.45,225.82,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1608-D,2026-02,64.28,68.23,3.95,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade1802,2026-02,203.53,209.68,6.15,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade1606,2026-02,6.7,11.77,5.07,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1605,2026-02,23922.18,24134.58,212.4,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade306,2026-02,956381,966899,10518,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1108,2026-02,217757,217757,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade505,2026-02,964896,990401,25505,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1703-E,2026-02,186.23,188.95,2.72,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,PearlG07-E,2026-02,5.69,13.12,7.43,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl806-E,2026-02,28522.29,28695.17,172.88,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1508-F,2026-02,17849.62,17981.66,132.04,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1707,2026-02,893007,896667,3660,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal504,2026-02,67.19,73,5.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum1502-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst906,2026-02,178.87,183.35,4.48,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1903,2026-02,12778.44,12889.08,110.64,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby306,2026-02,0.1,0.1,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1110,2026-02,37.48,40.85,3.37,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby1902,2026-02,24.23,25.44,1.21,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby805,2026-02,9316.08,9553.65,237.57,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1207,2026-02,643.69,651.58,7.89,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum1303,2026-02,280.81,282.23,1.42,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,AurumG009,2026-02,328.24,331.92,3.68,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal903-F,2026-02,212.71,215.7,2.99,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1705-F,2026-02,72.35,73.16,0.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1901-F,2026-02,16.78,19.8,3.02,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl204-E,2026-02,86123,86503,380,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal309,2026-02,10564.27,10788.75,224.48,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum601-D,2026-02,236.62,373.89,137.27,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade1009,2026-02,218.1,230.2,12.1,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade1904,2026-02,83.5,86.14,2.64,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst710,2026-02,596677,604802,8125,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst904,2026-02,145445,158803,13358,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1901,2026-02,390705,402727,12022,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1407-E,2026-02,24.03,29.54,5.51,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise306,2026-02,230080,230080,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum905,2026-02,57716,58110,394,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum210,2026-02,144357,144357,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Amethyst1807,2026-02,32414.41,32857.6,443.19,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby407,2026-02,80.18,88.93,8.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby606,2026-02,61.03,64.62,3.59,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby704,2026-02,18.73,24.73,6,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1404-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1008-E,2026-02,580530,586357,5827,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1206-E,2026-02,93217,93387,170,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,OpalG06,2026-02,22735.18,23071.77,336.59,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine710,2026-02,559789,580355,20566,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1802,2026-02,691166,704857,13691,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1509,2026-02,8274.28,8569.94,295.66,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby702,2026-02,7693.36,7776.68,83.32,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,RubyG04,2026-02,830.87,1149.86,318.99,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby407,2026-02,8923.81,9158.22,234.41,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl402-E,2026-02,29827.07,29968.67,141.6,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl101-E,2026-02,2245.12,2371.1,125.98,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal707-F,2026-02,20326.99,20586.31,259.32,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal902,2026-02,69.47,74.11,4.64,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum1504-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst505,2026-02,153.26,161.17,7.91,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1807,2026-02,239.36,250.54,11.18,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1603,2026-02,126.58,129.69,3.11,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst807,2026-02,176.14,188.13,11.99,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst910,2026-02,118.99,125.26,6.27,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum110,2026-02,96930,97549,619,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum209,2026-02,62856,62856,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Aquamarine1404,2026-02,17015.78,17194.79,179.01,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1301-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise107,2026-02,181.14,187.44,6.3,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Turquoise710,2026-02,286.66,295.21,8.55,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,AquamarineG09,2026-02,86.87,0,-86.87,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1801,2026-02,102.07,104.64,2.57,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise205,2026-02,16752.12,16888.97,136.85,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1305,2026-02,3083.57,3282.32,198.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1408,2026-02,5558.27,5712.8,154.53,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1907-D,2026-02,329.43,335.1,5.67,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade1806,2026-02,229.39,231,1.61,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1202,2026-02,103884,105776,1892,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl1401-E,2026-02,156.6,162.41,5.81,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl201-E,2026-02,2.91,10.56,7.65,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl304-E,2026-02,20.83,24.96,4.13,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1910-E,2026-02,20806.89,21102.88,295.99,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal101-F,2026-02,8340.46,8488.75,148.29,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1108,2026-02,479094,486950,7856,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1909,2026-02,512242,519132,6890,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Opal202,2026-02,47.57,49.31,1.74,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1906,2026-02,189.54,204.87,15.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst810,2026-02,117.23,117.36,0.13,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1810,2026-02,56118,60209,4091,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1505,2026-02,13990.63,14318.4,327.77,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine304,2026-02,20533.39,0,-20533.39,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine903,2026-02,27.6,29.53,1.93,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1205,2026-02,77.4,82.57,5.17,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum105-D,2026-02,9896.7,9898.05,1.35,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum707-D,2026-02,6312.06,6420.1,108.04,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1501,2026-02,8864.3,9068.63,204.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade410,2026-02,1207341,1218141,10800,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1003-F,2026-02,4409.96,4554.38,144.42,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal1102-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal1801-F,2026-02,2351,2351,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise604,2026-02,942505,950514,8009,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Turquoise1103,2026-02,761748,762596,848,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1903,2026-02,74841,74841,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Electricity,Jade1303,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1509,2026-02,9418.64,9576.72,158.08,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine205,2026-02,11477.87,0,-11477.87,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1008,2026-02,7859.56,8024.7,165.14,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1808,2026-02,4450.8,4557.11,106.31,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1409,2026-02,72.02,75.79,3.77,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,ArgentumG03-D,2026-02,6500.81,6500.85,0.04,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl406-E,2026-02,61257,62732,1475,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,ArgentumG06-D,2026-02,244.86,4.69,-240.17,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1609-D,2026-02,76.9,78.45,1.55,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1403,2026-02,216490,225507,9017,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1701,2026-02,1021847,1032917,11070,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1601,2026-02,605538,628272,22734,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,PearlG01-E,2026-02,213.89,222.64,8.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl701-E,2026-02,6616.31,6807.94,191.63,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1601-E,2026-02,34503.7,34724.12,220.42,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1107-E,2026-02,710.88,834.23,123.35,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Crystal1608-F,2026-02,72204,72752,548,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum202-D,2026-02,7,7,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum702-D,2026-02,967440,972607,5167,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1801,2026-02,264.14,271.67,7.53,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal1603,2026-02,320482,321078,596,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Gas,Platinum1410,2026-02,72271,72271,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum401,2026-02,133779,133779,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Gas,Platinum1703,2026-02,103479,103479,0,02-02-2026 00:00,02-02-2026 00:00,05-03-2026 13:18
Diesel,Jade509,2026-02,205.4,211.91,6.51,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1205-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1704-D,2026-02,2622.27,2637.56,15.29,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,PearlG07-E,2026-02,32641,52506,19865,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum909-D,2026-02,334.72,341.39,6.67,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade505,2026-02,138.14,148.05,9.91,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade306,2026-02,191.99,196.14,4.15,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine502,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1901,2026-02,381573,394303,12730,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1210,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1106,2026-02,812782,814089,1307,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1005,2026-02,4473.87,4591.19,117.32,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Ruby1409,2026-02,44,44,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,PearlG02-E,2026-02,10508.78,10660.78,152,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl507-E,2026-02,10389.91,10532.02,142.11,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1902-E,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Crystal503-F,2026-02,14158.44,14159.18,0.74,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Amethyst1307,2026-02,91.9,100.2,8.3,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Opal802,2026-02,377981,389137,11156,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,OpalG01,2026-02,311290,322127,10837,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum304,2026-02,757048,772678,15630,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1504,2026-02,7944.3,8074.51,130.21,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Amethyst1209,2026-02,26468.86,26816.05,347.19,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby708,2026-02,32.16,45.16,13,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby605,2026-02,55.75,60.08,4.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Amethyst1605,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Ruby1603,2026-02,7709.26,7847.39,138.13,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1005-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Crystal1308-F,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Argentum1008-D,2026-02,5679.68,5838.06,158.38,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade905,2026-02,1190250,1200401,10151,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade409,2026-02,1381849,1393302,11453,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade804,2026-02,1373468,1391199,17731,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Pearl703-E,2026-02,118.17,119.6,1.43,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1203-E,2026-02,4199.2,4351.17,151.97,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Pearl1804-E,2026-02,36466.93,36492.14,25.21,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Argentum103-D,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aurum509,2026-02,82500,83077,577,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Ruby802,2026-02,53.74,56.05,2.31,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Aquamarine1508,2026-02,11398.68,11537.38,138.7,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aurum104,2026-02,390.07,391.11,1.04,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Aquamarine1701,2026-02,40.31,49.49,9.18,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Pearl1809-E,2026-02,0,0,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise1302,2026-02,7457.98,7650.05,192.07,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Turquoise801,2026-02,17479.39,17615.78,136.39,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal1903,2026-02,6194.57,6357.32,162.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Opal502,2026-02,5376.79,5407.09,30.3,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Argentum1902-D,2026-02,246.19,252.52,6.33,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Diesel,Jade1601,2026-02,133.33,141.57,8.24,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Electricity,Jade1109,2026-02,18413.77,18482.52,68.75,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1301,2026-02,1069242,1080927,11685,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine1708,2026-02,163,163,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Aquamarine301,2026-02,225397,0,-225397,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
Water,Jade1510,2026-02,23760,23760,0,02-02-2026 00:00,28-02-2026 23:45,05-03-2026 13:18
